Platform,Year,Genre,north_america_sales,europe_sales,japan_sales,Other_Sales,Global_Sales
PSP,2006,Sports,0.04,0.0,0.0,0.0,0.05
Wii,2006,Simulation,0.03,0.01,0.01,0.0,0.05
PS3,2015,Adventure,0.0,0.0,0.05,0.0,0.05
DS,2009,Action,0.0,0.04,0.0,0.0,0.05
PC,2007,Strategy,0.0,0.04,0.0,0.01,0.05
XB,2002,Action,0.03,0.01,0.0,0.0,0.05
PC,2015,Racing,0.0,0.04,0.0,0.0,0.05
Wii,2011,Strategy,0.0,0.0,0.05,0.0,0.05
DS,2008,Role-Playing,0.0,0.0,0.05,0.0,0.05
DS,2010,Racing,0.04,0.0,0.0,0.0,0.05
Wii,2008,Misc,0.04,0.0,0.0,0.0,0.05
DS,2005,Puzzle,0.04,0.0,0.0,0.0,0.05
PS4,2015,Adventure,0.04,0.0,0.0,0.01,0.05
PS,2001,Shooter,0.03,0.02,0.0,0.0,0.05
PSP,2006,Role-Playing,0.04,0.0,0.0,0.0,0.05
DS,2011,Action,0.0,0.0,0.05,0.0,0.05
PS,1996,Adventure,0.03,0.02,0.0,0.0,0.05
GC,2003,Fighting,0.04,0.01,0.0,0.0,0.05
Wii,2007,Simulation,0.04,0.0,0.0,0.0,0.05
DS,2008,Adventure,0.04,0.0,0.0,0.0,0.05
X360,2013,Action,0.0,0.04,0.0,0.0,0.05
X360,2006,Misc,0.04,0.0,0.0,0.0,0.05
X360,2012,Racing,0.04,0.0,0.0,0.0,0.05
GC,2005,Shooter,0.04,0.01,0.0,0.0,0.05
PC,2011,Sports,0.0,0.03,0.0,0.01,0.05
XB,2006,Strategy,0.03,0.01,0.0,0.0,0.05
DS,2010,Sports,0.04,0.0,0.01,0.0,0.05
PSV,2014,Adventure,0.0,0.0,0.05,0.0,0.05
DS,2007,Action,0.03,0.01,0.0,0.0,0.05
N64,1997,Shooter,0.0,0.0,0.05,0.0,0.05
PSV,2014,Puzzle,0.0,0.0,0.05,0.0,0.05
PSP,2006,Misc,0.0,0.0,0.05,0.0,0.05
PS2,2001,Misc,0.02,0.02,0.0,0.01,0.05
GC,2003,Puzzle,0.04,0.01,0.0,0.0,0.05
PC,2002,Action,0.0,0.04,0.0,0.01,0.05
X360,2008,Sports,0.04,0.0,0.0,0.0,0.05
PS3,2013,Racing,0.02,0.02,0.0,0.01,0.05
Wii,2007,Adventure,0.04,0.0,0.0,0.0,0.05
Wii,2007,Puzzle,0.04,0.0,0.0,0.0,0.05
PSV,2013,Adventure,0.03,0.0,0.01,0.01,0.05
PC,2009,Adventure,0.0,0.04,0.0,0.01,0.05
PSV,2012,Adventure,0.0,0.0,0.05,0.0,0.05
PSP,2012,Misc,0.0,0.0,0.05,0.0,0.05
PSP,2006,Misc,0.04,0.0,0.0,0.0,0.05
DS,2004,Racing,0.04,0.0,0.0,0.0,0.05
PSV,2011,Adventure,0.0,0.0,0.05,0.0,0.05
XB,2004,Misc,0.03,0.01,0.0,0.0,0.05
DS,2007,Platform,0.04,0.0,0.0,0.0,0.05
PS,1999,Racing,0.03,0.02,0.0,0.0,0.05
Wii,2007,Shooter,0.04,0.0,0.0,0.0,0.05
GC,2002,Racing,0.04,0.01,0.0,0.0,0.05
DS,2008,Puzzle,0.04,0.0,0.0,0.0,0.05
Wii,2007,Action,0.04,0.01,0.0,0.0,0.05
GC,2002,Racing,0.04,0.01,0.0,0.0,0.05
PS2,2001,Action,0.0,0.0,0.05,0.0,0.05
X360,2015,Sports,0.0,0.04,0.0,0.0,0.05
XB,2002,Sports,0.03,0.01,0.0,0.0,0.05
PSV,2014,Action,0.0,0.0,0.05,0.0,0.05
GBA,2005,Platform,0.03,0.01,0.0,0.0,0.05
DS,2008,Adventure,0.04,0.0,0.0,0.0,0.05
PSP,2006,Racing,0.04,0.0,0.0,0.0,0.05
X360,2007,Sports,0.04,0.0,0.0,0.0,0.05
PSP,2012,Action,0.0,0.0,0.05,0.0,0.05
3DS,2011,Misc,0.0,0.04,0.0,0.01,0.05
DS,2008,Adventure,0.0,0.0,0.05,0.0,0.05
DS,2006,Adventure,0.04,0.0,0.0,0.0,0.05
X360,2010,Shooter,0.04,0.0,0.0,0.0,0.05
PSP,2011,Adventure,0.0,0.0,0.05,0.0,0.05
PSV,2015,Racing,0.0,0.0,0.05,0.0,0.05
PC,2007,Simulation,0.0,0.04,0.0,0.01,0.05
PS,1999,Adventure,0.03,0.02,0.0,0.0,0.05
3DS,2011,Shooter,0.04,0.0,0.0,0.0,0.05
PC,2009,Shooter,0.01,0.03,0.0,0.01,0.05
3DS,2014,Role-Playing,0.0,0.0,0.05,0.0,0.05
PSV,2014,Role-Playing,0.0,0.0,0.05,0.0,0.05
PSP,2006,Role-Playing,0.0,0.0,0.05,0.0,0.05
PS,2000,Misc,0.03,0.02,0.0,0.0,0.05
PS3,2015,Action,0.0,0.0,0.05,0.0,0.05
X360,2013,Shooter,0.04,0.0,0.0,0.0,0.05
XB,2004,Strategy,0.03,0.01,0.0,0.0,0.05
PS3,2015,Role-Playing,0.0,0.0,0.05,0.0,0.05
SAT,1996,Fighting,0.0,0.0,0.05,0.0,0.05
PSP,2008,Fighting,0.0,0.0,0.05,0.0,0.05
GBA,2003,Action,0.03,0.01,0.0,0.0,0.05
PC,2010,Misc,0.04,0.0,0.0,0.0,0.05
DS,2009,Misc,0.0,0.04,0.0,0.0,0.05
XB,2005,Misc,0.03,0.01,0.0,0.0,0.05
PS,2001,Puzzle,0.03,0.02,0.0,0.0,0.05
PS2,2002,Sports,0.0,0.0,0.05,0.0,0.05
XB,2003,Shooter,0.03,0.01,0.0,0.0,0.05
DS,2007,Action,0.04,0.0,0.0,0.0,0.05
DS,2006,Misc,0.0,0.0,0.05,0.0,0.05
PSP,2014,Action,0.0,0.0,0.05,0.0,0.05
DS,2009,Adventure,0.03,0.01,0.0,0.0,0.05
PC,2009,Strategy,0.0,0.04,0.0,0.01,0.05
DS,2008,Misc,0.04,0.0,0.0,0.0,0.05
PC,2009,Action,0.0,0.04,0.0,0.01,0.05
XB,2003,Platform,0.03,0.01,0.0,0.0,0.05
Wii,2009,Sports,0.04,0.0,0.0,0.0,0.05
3DS,2011,Misc,0.0,0.0,0.05,0.0,0.05
N64,1999,Racing,0.0,0.0,0.05,0.0,0.05
PS4,2016,Platform,0.04,0.0,0.0,0.01,0.05
PC,2016,Shooter,0.0,0.04,0.0,0.0,0.05
PS3,2010,Platform,0.0,0.03,0.0,0.01,0.05
GBA,2003,Misc,0.03,0.01,0.0,0.0,0.05
X360,2011,Adventure,0.0,0.04,0.0,0.01,0.05
DS,2007,Strategy,0.03,0.01,0.0,0.0,0.05
3DS,2013,Action,0.0,0.04,0.0,0.0,0.05
PC,2006,Adventure,0.0,0.04,0.0,0.01,0.05
PS,1997,Sports,0.03,0.02,0.0,0.0,0.05
DS,2009,Puzzle,0.04,0.0,0.0,0.0,0.05
PSV,2014,Adventure,0.0,0.0,0.05,0.0,0.05
XB,2004,Shooter,0.03,0.01,0.0,0.0,0.05
DS,2011,Adventure,0.0,0.0,0.05,0.0,0.05
DS,2011,Role-Playing,0.0,0.0,0.05,0.0,0.05
GC,2004,Shooter,0.03,0.01,0.0,0.0,0.05
WiiU,2013,Shooter,0.0,0.04,0.0,0.0,0.05
PS2,2009,Racing,0.02,0.02,0.0,0.01,0.05
SCD,1994,Misc,0.0,0.0,0.04,0.0,0.05
PS,1999,Puzzle,0.03,0.02,0.0,0.0,0.04
PC,2011,Puzzle,0.0,0.04,0.0,0.01,0.04
DS,2008,Simulation,0.04,0.0,0.0,0.0,0.04
DS,2010,Simulation,0.04,0.0,0.0,0.0,0.04
DS,2006,Action,0.04,0.0,0.0,0.0,0.04
PS,1995,Simulation,0.0,0.0,0.04,0.0,0.04
GBA,2005,Role-Playing,0.0,0.0,0.04,0.0,0.04
PS2,2009,Fighting,0.0,0.0,0.04,0.0,0.04
PS2,2006,Fighting,0.02,0.02,0.0,0.01,0.04
PSP,2006,Sports,0.04,0.0,0.0,0.0,0.04
DS,2008,Misc,0.0,0.0,0.04,0.0,0.04
PS2,2007,Role-Playing,0.0,0.0,0.04,0.0,0.04
PC,2009,Adventure,0.0,0.04,0.0,0.01,0.04
DS,2010,Misc,0.04,0.0,0.0,0.0,0.04
Wii,2008,Platform,0.04,0.0,0.0,0.0,0.04
PS2,2006,Sports,0.02,0.02,0.0,0.01,0.04
SAT,1995,Misc,0.0,0.0,0.04,0.0,0.04
PSP,2009,Adventure,0.0,0.0,0.04,0.0,0.04
PS2,2007,Fighting,0.0,0.0,0.04,0.0,0.04
DS,2005,Misc,0.0,0.0,0.04,0.0,0.04
PSV,2015,Role-Playing,0.0,0.0,0.04,0.0,0.04
GBA,2005,Misc,0.03,0.01,0.0,0.0,0.04
PSV,2015,Action,0.0,0.0,0.04,0.0,0.04
GC,2002,Platform,0.03,0.01,0.0,0.0,0.04
PS,1996,Action,0.02,0.02,0.0,0.0,0.04
Wii,2008,Sports,0.04,0.0,0.0,0.0,0.04
DS,2010,Misc,0.04,0.0,0.0,0.0,0.04
DS,2007,Action,0.0,0.0,0.04,0.0,0.04
Wii,2007,Shooter,0.04,0.0,0.0,0.0,0.04
PC,2009,Action,0.0,0.03,0.0,0.01,0.04
PSV,2015,Role-Playing,0.0,0.0,0.04,0.0,0.04
Wii,2010,Racing,0.04,0.0,0.0,0.0,0.04
XB,2005,Shooter,0.03,0.01,0.0,0.0,0.04
PS4,2016,Misc,0.0,0.0,0.04,0.0,0.04
PS,2001,Action,0.02,0.02,0.0,0.0,0.04
DS,2007,Strategy,0.01,0.0,0.03,0.0,0.04
XOne,2016,Action,0.02,0.02,0.0,0.0,0.04
DS,2008,Misc,0.0,0.0,0.04,0.0,0.04
PS3,2016,Sports,0.0,0.04,0.0,0.01,0.04
GBA,2004,Role-Playing,0.03,0.01,0.0,0.0,0.04
PC,2003,Strategy,0.0,0.04,0.0,0.0,0.04
DS,2008,Action,0.04,0.0,0.0,0.0,0.04
3DS,2013,Simulation,0.0,0.0,0.04,0.0,0.04
PS,1998,Strategy,0.0,0.0,0.04,0.0,0.04
PS,1996,Misc,0.0,0.0,0.04,0.0,0.04
PC,2012,Shooter,0.0,0.04,0.0,0.01,0.04
GBA,2004,Sports,0.03,0.01,0.0,0.0,0.04
GBA,2002,Shooter,0.03,0.01,0.0,0.0,0.04
DS,2011,Misc,0.0,0.04,0.0,0.01,0.04
PSP,2007,Action,0.04,0.0,0.0,0.0,0.04
PC,2006,Simulation,0.0,0.04,0.0,0.01,0.04
Wii,2011,Sports,0.04,0.0,0.0,0.0,0.04
XB,2004,Racing,0.03,0.01,0.0,0.0,0.04
PS2,2000,Puzzle,0.0,0.0,0.04,0.0,0.04
PS4,2016,Racing,0.0,0.04,0.0,0.01,0.04
PSP,2009,Role-Playing,0.0,0.0,0.04,0.0,0.04
GBA,2005,Misc,0.03,0.01,0.0,0.0,0.04
PS2,2007,Misc,0.0,0.0,0.04,0.0,0.04
PS,1997,Misc,0.02,0.02,0.0,0.0,0.04
DS,2009,Action,0.0,0.0,0.04,0.0,0.04
PS2,2002,Fighting,0.0,0.0,0.04,0.0,0.04
DS,2009,Action,0.04,0.0,0.0,0.0,0.04
DS,2006,Sports,0.04,0.0,0.0,0.0,0.04
Wii,2009,Misc,0.04,0.0,0.0,0.0,0.04
PSP,2007,Action,0.04,0.0,0.0,0.0,0.04
PS2,2005,Adventure,0.0,0.0,0.04,0.0,0.04
PSV,2014,Action,0.0,0.0,0.04,0.0,0.04
GC,2007,Action,0.03,0.01,0.0,0.0,0.04
DS,2008,Adventure,0.0,0.0,0.04,0.0,0.04
Wii,2009,Misc,0.0,0.0,0.04,0.0,0.04
PS3,2014,Puzzle,0.0,0.0,0.04,0.0,0.04
GG,1992,Platform,0.0,0.0,0.04,0.0,0.04
XB,2006,Racing,0.03,0.01,0.0,0.0,0.04
PS2,2006,Shooter,0.02,0.02,0.0,0.01,0.04
PS2,2003,Action,0.02,0.02,0.0,0.01,0.04
XOne,2016,Sports,0.04,0.0,0.0,0.0,0.04
GBA,2003,Platform,0.03,0.01,0.0,0.0,0.04
PS3,2006,Action,0.0,0.0,0.04,0.0,0.04
PSP,2006,Misc,0.0,0.0,0.04,0.0,0.04
Wii,2007,Racing,0.04,0.0,0.0,0.0,0.04
GC,2004,Shooter,0.03,0.01,0.0,0.0,0.04
DS,2006,Simulation,0.04,0.0,0.0,0.0,0.04
3DS,2011,Platform,0.04,0.0,0.0,0.0,0.04
PC,2010,Racing,0.0,0.04,0.0,0.01,0.04
PSP,2010,Adventure,0.0,0.0,0.04,0.0,0.04
GC,2004,Action,0.03,0.01,0.0,0.0,0.04
GBA,2005,Action,0.03,0.01,0.0,0.0,0.04
XB,2003,Strategy,0.03,0.01,0.0,0.0,0.04
Wii,2010,Adventure,0.04,0.0,0.0,0.0,0.04
PS3,2012,Adventure,0.0,0.0,0.04,0.0,0.04
PS3,2013,Shooter,0.02,0.02,0.0,0.01,0.04
SNES,1995,Platform,0.0,0.0,0.04,0.0,0.04
X360,2011,Sports,0.0,0.04,0.0,0.01,0.04
GBA,2004,Role-Playing,0.03,0.01,0.0,0.0,0.04
DS,2010,Puzzle,0.04,0.0,0.0,0.0,0.04
Wii,2007,Shooter,0.04,0.0,0.0,0.0,0.04
GBA,2002,Shooter,0.03,0.01,0.0,0.0,0.04
PC,2011,Action,0.01,0.02,0.0,0.01,0.04
PS3,2011,Misc,0.03,0.01,0.0,0.0,0.04
PS,1998,Fighting,0.0,0.0,0.04,0.0,0.04
3DS,2015,Action,0.0,0.0,0.04,0.0,0.04
X360,2006,Fighting,0.04,0.0,0.0,0.0,0.04
PSP,2012,Role-Playing,0.0,0.0,0.04,0.0,0.04
DS,2006,Action,0.0,0.0,0.04,0.0,0.04
PSP,2011,Adventure,0.0,0.0,0.04,0.0,0.04
PSP,2009,Adventure,0.0,0.0,0.04,0.0,0.04
PS2,2006,Adventure,0.0,0.0,0.04,0.0,0.04
PSP,2009,Misc,0.0,0.0,0.04,0.0,0.04
PC,2016,Adventure,0.01,0.03,0.0,0.0,0.04
PC,2007,Racing,0.0,0.04,0.0,0.01,0.04
DS,2008,Action,0.0,0.0,0.04,0.0,0.04
PS3,2012,Platform,0.0,0.0,0.04,0.0,0.04
PC,2015,Sports,0.0,0.04,0.0,0.0,0.04
DS,2008,Adventure,0.0,0.0,0.04,0.0,0.04
PS2,2001,Simulation,0.0,0.0,0.04,0.0,0.04
PSV,2012,Role-Playing,0.0,0.0,0.04,0.0,0.04
PS,1998,Action,0.02,0.02,0.0,0.0,0.04
XB,2004,Sports,0.03,0.01,0.0,0.0,0.04
GBA,2002,Misc,0.03,0.01,0.0,0.0,0.04
PS2,2004,Adventure,0.02,0.02,0.0,0.01,0.04
Wii,2010,Platform,0.04,0.0,0.0,0.0,0.04
PS2,2005,Action,0.02,0.02,0.0,0.01,0.04
PS2,2008,Adventure,0.0,0.0,0.04,0.0,0.04
X360,2009,Sports,0.0,0.04,0.0,0.0,0.04
XB,2003,Racing,0.03,0.01,0.0,0.0,0.04
PSP,2008,Fighting,0.0,0.0,0.04,0.0,0.04
PS2,2006,Fighting,0.0,0.0,0.04,0.0,0.04
PSP,2010,Adventure,0.0,0.0,0.04,0.0,0.04
3DS,2011,Sports,0.0,0.04,0.0,0.0,0.04
DS,2009,Action,0.0,0.0,0.04,0.0,0.04
PSP,2006,Misc,0.02,0.0,0.02,0.0,0.04
Wii,2011,Platform,0.0,0.04,0.0,0.0,0.04
XB,2005,Sports,0.03,0.01,0.0,0.0,0.04
Wii,2009,Sports,0.02,0.02,0.0,0.0,0.04
PS3,2013,Simulation,0.0,0.0,0.04,0.0,0.04
Wii,2006,Action,0.04,0.0,0.0,0.0,0.04
Wii,2008,Action,0.04,0.0,0.0,0.0,0.04
GBA,2001,Action,0.03,0.01,0.0,0.0,0.04
Wii,2008,Shooter,0.04,0.0,0.0,0.0,0.04
DS,2011,Action,0.0,0.0,0.04,0.0,0.04
DS,2008,Adventure,0.04,0.0,0.0,0.0,0.04
PC,2008,Action,0.02,0.02,0.0,0.01,0.04
3DS,2016,Misc,0.0,0.0,0.04,0.0,0.04
DS,2006,Adventure,0.0,0.0,0.04,0.0,0.04
3DS,2014,Action,0.0,0.0,0.04,0.0,0.04
DS,2009,Puzzle,0.04,0.0,0.0,0.0,0.04
GBA,2002,Action,0.03,0.01,0.0,0.0,0.04
XB,2006,Racing,0.03,0.01,0.0,0.0,0.04
PSV,2016,Action,0.0,0.0,0.04,0.0,0.04
PS,2000,Simulation,0.02,0.02,0.0,0.0,0.04
PS2,2001,Action,0.0,0.0,0.04,0.0,0.04
DS,2010,Action,0.0,0.04,0.0,0.0,0.04
Wii,2007,Shooter,0.04,0.0,0.0,0.0,0.04
PS3,2013,Fighting,0.0,0.0,0.04,0.0,0.04
XB,2004,Platform,0.03,0.01,0.0,0.0,0.04
X360,2010,Shooter,0.04,0.0,0.0,0.0,0.04
PS2,2009,Simulation,0.0,0.0,0.04,0.0,0.04
PS2,2002,Sports,0.0,0.0,0.04,0.0,0.04
DS,2009,Simulation,0.04,0.0,0.0,0.0,0.04
PS,2001,Sports,0.02,0.02,0.0,0.0,0.04
PS4,2016,Misc,0.0,0.0,0.04,0.0,0.04
PSP,2004,Puzzle,0.0,0.0,0.04,0.0,0.04
PC,2006,Simulation,0.01,0.02,0.0,0.01,0.04
3DS,2011,Misc,0.0,0.0,0.04,0.0,0.04
XB,2003,Fighting,0.03,0.01,0.0,0.0,0.04
DS,2007,Puzzle,0.03,0.01,0.0,0.0,0.04
PS3,2016,Action,0.0,0.0,0.04,0.0,0.04
XB,2002,Sports,0.03,0.01,0.0,0.0,0.04
PC,2002,Simulation,0.01,0.02,0.0,0.01,0.04
PC,2004,Strategy,0.0,0.03,0.0,0.01,0.04
PSV,2014,Adventure,0.0,0.0,0.04,0.0,0.04
DS,2011,Shooter,0.04,0.0,0.0,0.0,0.04
GC,2003,Sports,0.03,0.01,0.0,0.0,0.04
PSP,2007,Action,0.04,0.0,0.0,0.0,0.04
DS,2005,Misc,0.0,0.0,0.04,0.0,0.04
DS,2007,Role-Playing,0.0,0.0,0.04,0.0,0.04
PC,2001,Strategy,0.0,0.04,0.0,0.01,0.04
PC,2011,Adventure,0.01,0.02,0.0,0.01,0.04
Wii,2012,Action,0.0,0.04,0.0,0.0,0.04
PC,2009,Strategy,0.0,0.03,0.0,0.01,0.04
Wii,2008,Platform,0.04,0.0,0.0,0.0,0.04
Wii,2010,Misc,0.04,0.0,0.0,0.0,0.04
PSP,2005,Role-Playing,0.0,0.03,0.0,0.01,0.04
XB,2006,Sports,0.03,0.01,0.0,0.0,0.04
PC,2008,Action,0.01,0.02,0.0,0.01,0.04
PSP,2011,Adventure,0.0,0.0,0.04,0.0,0.04
DS,2006,Misc,0.0,0.0,0.04,0.0,0.04
DS,2009,Simulation,0.04,0.0,0.0,0.0,0.04
DS,2011,Puzzle,0.0,0.04,0.0,0.01,0.04
Wii,2010,Adventure,0.0,0.04,0.0,0.01,0.04
XB,2005,Shooter,0.03,0.01,0.0,0.0,0.04
PSP,2012,Action,0.0,0.0,0.04,0.0,0.04
Wii,2007,Fighting,0.03,0.0,0.0,0.0,0.04
PS4,2016,Action,0.0,0.04,0.0,0.01,0.04
PSP,2006,Misc,0.04,0.0,0.0,0.0,0.04
PS3,2015,Fighting,0.0,0.0,0.04,0.0,0.04
XOne,2016,Action,0.02,0.02,0.0,0.0,0.04
GC,2004,Fighting,0.03,0.01,0.0,0.0,0.04
3DS,2013,Action,0.0,0.0,0.04,0.0,0.04
3DS,2015,Action,0.03,0.0,0.0,0.0,0.04
DS,2007,Simulation,0.0,0.0,0.04,0.0,0.04
PSP,2011,Role-Playing,0.0,0.0,0.04,0.0,0.04
PSP,2006,Racing,0.04,0.0,0.0,0.0,0.04
PSP,2009,Action,0.0,0.0,0.04,0.0,0.04
PC,2006,Strategy,0.0,0.03,0.0,0.01,0.04
DS,2008,Role-Playing,0.04,0.0,0.0,0.0,0.04
DS,2008,Misc,0.0,0.0,0.04,0.0,0.04
PSP,2008,Action,0.04,0.0,0.0,0.0,0.04
PC,2011,Sports,0.0,0.03,0.0,0.01,0.04
Wii,2008,Puzzle,0.04,0.0,0.0,0.0,0.04
PC,2009,Strategy,0.0,0.03,0.0,0.01,0.04
PSP,2010,Adventure,0.0,0.0,0.04,0.0,0.04
PS2,2000,Misc,0.02,0.02,0.0,0.01,0.04
PS3,2008,Racing,0.0,0.03,0.0,0.01,0.04
PSP,2005,Puzzle,0.04,0.0,0.0,0.0,0.04
PS2,2007,Sports,0.0,0.0,0.04,0.0,0.04
PC,2012,Sports,0.04,0.0,0.0,0.0,0.04
SNES,1996,Role-Playing,0.0,0.0,0.04,0.0,0.04
DS,2008,Racing,0.03,0.01,0.0,0.0,0.04
PS4,2015,Fighting,0.01,0.0,0.02,0.0,0.04
PC,2005,Strategy,0.0,0.04,0.0,0.0,0.04
DS,2006,Action,0.04,0.0,0.0,0.0,0.04
DS,2008,Simulation,0.0,0.0,0.04,0.0,0.04
PSP,2010,Adventure,0.0,0.0,0.04,0.0,0.04
X360,2011,Adventure,0.01,0.03,0.0,0.0,0.04
PC,2009,Misc,0.0,0.04,0.0,0.01,0.04
3DS,2012,Misc,0.04,0.0,0.0,0.0,0.04
PS2,2005,Sports,0.02,0.02,0.0,0.01,0.04
PSP,2011,Adventure,0.0,0.0,0.04,0.0,0.04
PC,2013,Shooter,0.0,0.03,0.0,0.01,0.04
DS,2010,Simulation,0.04,0.0,0.0,0.0,0.04
PSP,2007,Racing,0.03,0.0,0.0,0.0,0.04
XB,2004,Simulation,0.03,0.01,0.0,0.0,0.04
PS2,2008,Adventure,0.0,0.0,0.04,0.0,0.04
DS,2010,Role-Playing,0.0,0.0,0.04,0.0,0.04
PC,2003,Strategy,0.01,0.02,0.0,0.01,0.04
X360,2012,Fighting,0.04,0.0,0.0,0.0,0.04
PS2,2001,Shooter,0.02,0.02,0.0,0.01,0.04
PS,1998,Sports,0.0,0.0,0.04,0.0,0.04
DS,2007,Sports,0.0,0.0,0.04,0.0,0.04
GBA,2004,Action,0.03,0.01,0.0,0.0,0.04
PSP,2011,Adventure,0.0,0.0,0.04,0.0,0.04
PSP,2006,Misc,0.03,0.0,0.0,0.0,0.04
DS,2009,Puzzle,0.0,0.0,0.04,0.0,0.04
XB,2005,Fighting,0.03,0.01,0.0,0.0,0.04
PS4,2016,Strategy,0.01,0.02,0.0,0.01,0.04
PC,2007,Strategy,0.01,0.03,0.0,0.01,0.04
PS,1995,Shooter,0.02,0.02,0.0,0.0,0.04
PSP,2012,Role-Playing,0.0,0.0,0.04,0.0,0.04
X360,2007,Puzzle,0.04,0.0,0.0,0.0,0.04
PS,1998,Sports,0.02,0.02,0.0,0.0,0.04
N64,2000,Sports,0.04,0.0,0.0,0.0,0.04
PC,2011,Strategy,0.0,0.03,0.0,0.01,0.04
N64,1998,Sports,0.04,0.0,0.0,0.0,0.04
PS3,2010,Sports,0.0,0.0,0.04,0.0,0.04
DS,2010,Action,0.0,0.0,0.04,0.0,0.04
PSP,2007,Shooter,0.03,0.0,0.0,0.0,0.04
PSP,2006,Racing,0.03,0.01,0.0,0.01,0.04
SAT,1996,Adventure,0.0,0.0,0.04,0.0,0.04
SAT,1994,Sports,0.0,0.0,0.04,0.0,0.04
PSV,2012,Action,0.0,0.0,0.04,0.0,0.04
PS2,2005,Action,0.02,0.02,0.0,0.01,0.04
DS,2009,Shooter,0.04,0.0,0.0,0.0,0.04
PS3,2011,Sports,0.0,0.03,0.0,0.01,0.04
PSP,2011,Adventure,0.0,0.0,0.04,0.0,0.04
SNES,1995,Role-Playing,0.0,0.0,0.04,0.0,0.04
XB,2005,Strategy,0.03,0.01,0.0,0.0,0.04
PC,2011,Racing,0.0,0.03,0.0,0.01,0.04
PSP,2012,Action,0.0,0.0,0.04,0.0,0.04
GC,2002,Sports,0.03,0.01,0.0,0.0,0.04
3DS,2011,Role-Playing,0.0,0.0,0.04,0.0,0.04
Wii,2010,Racing,0.04,0.0,0.0,0.0,0.04
X360,2011,Shooter,0.0,0.0,0.04,0.0,0.04
DS,2012,Action,0.0,0.04,0.0,0.0,0.04
X360,2012,Sports,0.04,0.0,0.0,0.0,0.04
PC,2003,Action,0.0,0.03,0.0,0.01,0.04
PSP,2009,Action,0.0,0.0,0.04,0.0,0.04
SNES,1995,Racing,0.0,0.0,0.04,0.0,0.04
Wii,2010,Sports,0.03,0.0,0.0,0.0,0.04
Wii,2010,Misc,0.04,0.0,0.0,0.0,0.04
N64,1999,Strategy,0.0,0.0,0.04,0.0,0.04
N64,1999,Racing,0.03,0.01,0.0,0.0,0.04
N64,1999,Strategy,0.03,0.01,0.0,0.0,0.04
N64,1999,Racing,0.03,0.01,0.0,0.0,0.04
N64,2000,Platform,0.03,0.01,0.0,0.0,0.04
GBA,2003,Platform,0.03,0.01,0.0,0.0,0.04
N64,1998,Fighting,0.03,0.01,0.0,0.0,0.04
PS2,2003,Action,0.0,0.0,0.04,0.0,0.04
PSP,2012,Action,0.0,0.0,0.04,0.0,0.04
GC,2002,Platform,0.03,0.01,0.0,0.0,0.04
PSP,2011,Role-Playing,0.0,0.0,0.04,0.0,0.04
DS,2007,Puzzle,0.01,0.02,0.0,0.0,0.04
XB,2005,Strategy,0.03,0.01,0.0,0.0,0.04
PC,2012,Action,0.0,0.03,0.0,0.01,0.04
PSP,2012,Sports,0.0,0.0,0.04,0.0,0.04
X360,2007,Action,0.03,0.0,0.01,0.0,0.04
DS,2005,Sports,0.04,0.0,0.0,0.0,0.04
PS,1998,Shooter,0.02,0.02,0.0,0.0,0.04
DS,2010,Misc,0.04,0.0,0.0,0.0,0.04
PS3,2012,Racing,0.04,0.0,0.0,0.0,0.04
PSP,2009,Role-Playing,0.0,0.0,0.04,0.0,0.04
PS4,2014,Action,0.0,0.03,0.0,0.01,0.04
PSP,2013,Sports,0.0,0.0,0.04,0.0,0.04
PS3,2007,Adventure,0.0,0.0,0.04,0.0,0.04
DS,2009,Puzzle,0.04,0.0,0.0,0.0,0.04
XOne,2016,Fighting,0.03,0.01,0.0,0.0,0.04
PSP,2011,Adventure,0.0,0.0,0.04,0.0,0.04
PS2,2008,Shooter,0.0,0.0,0.04,0.0,0.04
PS2,2002,Racing,0.02,0.02,0.0,0.01,0.04
DS,2008,Misc,0.0,0.0,0.04,0.0,0.04
DS,2009,Adventure,0.0,0.0,0.04,0.0,0.04
PS2,2006,Role-Playing,0.0,0.0,0.04,0.0,0.04
XOne,2014,Action,0.0,0.04,0.0,0.0,0.04
3DS,2014,Adventure,0.0,0.0,0.04,0.0,0.04
PC,2007,Strategy,0.0,0.03,0.0,0.01,0.04
GBA,2002,Sports,0.03,0.01,0.0,0.0,0.04
DS,2009,Simulation,0.04,0.0,0.0,0.0,0.04
PS3,2012,Role-Playing,0.0,0.0,0.04,0.0,0.04
PS2,2008,Action,0.02,0.02,0.0,0.01,0.04
DS,2010,Misc,0.04,0.0,0.0,0.0,0.04
PS2,2006,Adventure,0.0,0.0,0.04,0.0,0.04
PS4,2014,Strategy,0.03,0.0,0.0,0.01,0.04
PS2,2003,Sports,0.02,0.02,0.0,0.01,0.04
PSP,2009,Fighting,0.0,0.0,0.04,0.0,0.04
DS,2006,Misc,0.0,0.0,0.04,0.0,0.04
GBA,2003,Platform,0.03,0.01,0.0,0.0,0.04
PC,2005,Role-Playing,0.0,0.03,0.0,0.01,0.04
PC,2010,Strategy,0.03,0.0,0.0,0.0,0.04
PS3,2012,Fighting,0.04,0.0,0.0,0.0,0.04
PS2,2007,Fighting,0.0,0.0,0.04,0.0,0.04
DS,2007,Misc,0.0,0.04,0.0,0.0,0.04
